,0
0,401 SENECA ST W
1,112 PLAIN ST N
2,108 PLAIN ST N
3,402 STATE ST W
4,404 STATE ST W
5,408 STATE ST W
6,412 STATE ST W
7,416 STATE ST W
8,420 STATE ST W
9,428 STATE ST W
10,424 STATE ST W
11,109 CORN ST N
12,430-44 STATE ST W
13,417-19 SENECA ST W
14,413-15 SENECA ST W
15,411 SENECA ST W
16,409 SENECA ST W
17,407 SENECA ST W
18,130 CLEVELAND AVE
19,128 CLEVELAND AVE
20,124 CLEVELAND AVE
21,122 CLEVELAND AVE
22,118 CLEVELAND AVE
23,114-16 CLEVELAND AVE
24,112 CLEVELAND AVE
25,106-08 CLEVELAND AVE
26,429-39 STATE ST W
27,407 STATE ST W
28,401 STATE ST W
29,508 GREEN ST W
30,512-14 GREEN ST W
31,516 GREEN ST W
32,520 GREEN ST W
33,522-24 GREEN ST W
34,526 GREEN ST W
35,528 GREEN ST W
36,530 GREEN ST W
37,532 GREEN ST W
38,427 STATE ST W
39,421-25 STATE ST W
40,417-19 STATE ST W
41,413 STATE ST W
42,409 STATE ST W
43,533 GREEN ST W
44,523 GREEN ST W
45,521 GREEN ST W
46,519 GREEN ST W
47,517 GREEN ST W
48,515 GREEN ST W
49,511-13 GREEN ST W
50,507 GREEN ST W
51,505 GREEN ST W
52,501 GREEN ST W
53,531 GREEN ST W
54,529 GREEN ST W
55,527 GREEN ST W
56,525 GREEN ST W
57,109-15 MEADOW ST N
58,503 SENECA ST W
59,501 SENECA ST W
60,112 CORN ST N
61,108 CORN ST N
62,502 STATE ST W
63,504-06 STATE ST W
64,508 STATE ST W
65,512 STATE ST W
66,510 STATE ST W
67,514-16 STATE ST W
68,527 SENECA ST W
69,518 STATE ST W
70,526 STATE ST W
71,530 STATE ST W
72,536-38 STATE ST W
73,540 STATE ST W
74,540 STATE ST W
75,525 SENECA ST W
76,515 SENECA ST W
77,511-13 SENECA ST W
78,507 SENECA ST W
79,505 SENECA ST W
80,531-37 STATE ST W
81,602 GREEN ST W
82,604-06 GREEN ST W
83,608 GREEN ST W
84,616 GREEN ST W
85,626 GREEN ST W
86,628 GREEN ST W
87,527-29 STATE ST W
88, STATE ST W
89,517 STATE ST W
90,501-13 STATE ST W
91,617 GREEN ST W
92,613 GREEN ST W
93,611 GREEN ST W
94,609 GREEN ST W
95,607 GREEN ST W
96,605 GREEN ST W
97,601 GREEN ST W
98,621 GREEN ST W
99,212 CLEVELAND AVE
100,210 CLEVELAND AVE
101,208 CLEVELAND AVE
102,206 CLEVELAND AVE
103,204 CLEVELAND AVE
104,202 CLEVELAND AVE
105,226 CLEVELAND AVE
106,224 CLEVELAND AVE
107,220 CLEVELAND AVE
108,216 CLEVELAND AVE
109,214 CLEVELAND AVE
110,136 CLEVELAND AVE
111,134 CLEVELAND AVE
112,132 CLEVELAND AVE
